date,close,open,high,low,volume
2024-05-14T00:00:00-04:00,416.56,412.02,417.49,411.55,15109306.0
2024-05-15T00:00:00-04:00,423.08,417.9,423.81,417.27,22239533.0
2024-05-16T00:00:00-04:00,420.99,421.8,425.42,420.35,17530100.0
2024-05-17T00:00:00-04:00,420.21,422.54,422.92,418.03,15352239.0
2024-05-20T00:00:00-04:00,425.34,420.21,426.77,419.99,16272137.0
2024-05-21T00:00:00-04:00,429.04,426.83,432.97,424.85,21453300.0
2024-05-22T00:00:00-04:00,430.52,430.09,432.41,427.13,18073700.0
2024-05-23T00:00:00-04:00,427.0,432.97,433.6,425.42,17211700.0
2024-05-24T00:00:00-04:00,430.16,427.19,431.06,424.41,11855285.0
2024-05-28T00:00:00-04:00,430.32,429.63,430.82,426.6,15718024.0
2024-05-29T00:00:00-04:00,429.17,425.69,430.94,425.69,15517130.0
2024-05-30T00:00:00-04:00,414.67,424.3,424.3,414.24,28424847.0
2024-05-31T00:00:00-04:00,415.13,416.75,416.75,404.51,47995300.0
2024-06-03T00:00:00-04:00,413.52,415.53,416.43,408.92,17484700.0
2024-06-04T00:00:00-04:00,416.07,412.43,416.44,409.68,14348917.0
2024-06-05T00:00:00-04:00,424.01,417.81,424.08,416.3,16988038.0
2024-06-06T00:00:00-04:00,424.52,424.01,425.31,420.58,14861300.0
2024-06-07T00:00:00-04:00,423.85,426.2,426.28,423.0,13621700.0
2024-06-10T00:00:00-04:00,427.87,424.7,428.08,423.89,14003034.0
2024-06-11T00:00:00-04:00,432.68,425.48,432.82,425.25,14551101.0
2024-06-12T00:00:00-04:00,441.06,435.32,443.4,433.25,22366233.0
2024-06-13T00:00:00-04:00,441.58,440.85,443.39,439.37,15960600.0
2024-06-14T00:00:00-04:00,442.57,438.28,443.14,436.72,13582000.0
2024-06-17T00:00:00-04:00,448.37,442.59,450.94,440.72,20790030.0
2024-06-18T00:00:00-04:00,446.34,449.71,450.14,444.89,17112504.0
2024-06-20T00:00:00-04:00,445.7,446.3,446.53,441.27,19877400.0
2024-06-21T00:00:00-04:00,449.78,447.38,450.58,446.51,34486200.0
2024-06-24T00:00:00-04:00,447.67,449.8,452.75,446.41,15913719.0
2024-06-25T00:00:00-04:00,450.95,448.25,451.42,446.75,16747529.0
2024-06-26T00:00:00-04:00,452.16,449.0,453.6,448.19,16507030.0
2024-06-27T00:00:00-04:00,452.85,452.18,456.17,451.77,14806324.0
2024-06-28T00:00:00-04:00,446.95,453.07,455.38,446.41,28362300.0
2024-07-01T00:00:00-04:00,456.73,448.66,457.37,445.66,17662818.0
2024-07-02T00:00:00-04:00,459.28,453.2,459.59,453.11,13979800.0
2024-07-03T00:00:00-04:00,460.77,458.19,461.02,457.88,9932830.0
2024-07-05T00:00:00-04:00,467.56,459.61,468.35,458.97,16000300.0
2024-07-08T00:00:00-04:00,466.24,466.55,467.7,464.46,12962321.0
2024-07-09T00:00:00-04:00,459.54,467.0,467.33,458.0,17228507.0
2024-07-10T00:00:00-04:00,466.25,461.22,466.46,458.86,18196100.0
2024-07-11T00:00:00-04:00,454.7,462.98,464.78,451.55,23111200.0
2024-07-12T00:00:00-04:00,453.55,454.33,456.36,450.65,16324300.0
2024-07-15T00:00:00-04:00,453.96,453.3,457.26,451.43,14429447.0
2024-07-16T00:00:00-04:00,449.52,454.22,454.3,446.66,17175700.0
2024-07-17T00:00:00-04:00,443.52,442.59,444.85,439.18,21778000.0
2024-07-18T00:00:00-04:00,440.37,444.34,444.65,434.4,20794822.0
2024-07-19T00:00:00-04:00,437.11,433.1,441.14,432.0,20940417.0
2024-07-22T00:00:00-04:00,442.94,441.79,444.6,438.91,15808800.0
2024-07-23T00:00:00-04:00,444.85,443.9,448.39,443.1,13107100.0
2024-07-24T00:00:00-04:00,428.9,440.45,441.48,427.59,26805800.0
2024-07-25T00:00:00-04:00,418.4,428.8,429.8,417.51,29943800.0
2024-07-26T00:00:00-04:00,425.27,418.2,428.92,417.27,23583839.0
2024-07-29T00:00:00-04:00,426.73,431.58,432.15,424.7,15125836.0
2024-07-30T00:00:00-04:00,422.92,427.72,429.05,417.36,32687600.0
2024-07-31T00:00:00-04:00,418.35,420.5,421.78,412.21,42891400.0
2024-08-01T00:00:00-04:00,417.11,420.79,427.46,413.09,30296400.0
2024-08-02T00:00:00-04:00,408.49,412.49,415.0,404.34,29437900.0
2024-08-05T00:00:00-04:00,395.15,389.17,401.04,385.58,40709238.0
2024-08-06T00:00:00-04:00,399.61,400.0,405.67,398.5,24946525.0
2024-08-07T00:00:00-04:00,398.43,408.64,410.08,397.47,20650906.0
2024-08-08T00:00:00-04:00,402.69,402.44,405.86,399.94,20203030.0
2024-08-09T00:00:00-04:00,406.02,404.03,408.05,402.26,19276700.0
2024-08-12T00:00:00-04:00,406.81,407.06,408.76,404.24,16762900.0
2024-08-13T00:00:00-04:00,414.01,409.59,414.95,409.57,19414300.0
2024-08-14T00:00:00-04:00,416.86,414.8,417.72,412.45,18267000.0
